Date,Merchant,Amount
24-Feb-2026,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,450.00
18-Feb-2026,POS DEB 1922 THE CAPITAL GRILLE TORONTO ON,150.00
15-Feb-2026,PAYMENT RECEIVED - THANK YOU MOBILE APP,(1200.00)
12-Feb-2026,UBER *TRIP SAN FRANCISCO CA,50.00
26-Jan-2026,POS PUR 9928 LOBLAWS STORE #392 TORONTO ON,150.00
22-Jan-2026,NOBU TORONTO DINING RSTRNT,600.00
15-Jan-2026,PAYMENT RECEIVED - THANK YOU MOBILE APP,(800.00)
10-Jan-2026,APPLE STORE #R392 TORONTO ON,300.00
28-Dec-2025,AIR CANADA 01402938192 YYZ TO LHR,850.00
20-Dec-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,300.00
15-Dec-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(1400.00)
05-Dec-2025,POS DEB 1922 THE CAPITAL GRILLE TORONTO ON,200.00
25-Nov-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,500.00
15-Nov-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(750.00)
10-Nov-2025,UBER *EATS SAN FRANCISCO CA,100.00
22-Oct-2025,POS PUR 9928 LOBLAWS STORE #392 TORONTO ON,200.00
18-Oct-2025,POS DEB 1922 THE CAPITAL GRILLE TORONTO ON,450.00
15-Oct-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(1100.00)
05-Oct-2025,TICKETMASTER *EVENT 800-653-8000 CA,250.00
24-Sep-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,350.00
18-Sep-2025,NOBU TORONTO DINING RSTRNT,250.00
15-Sep-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(850.00)
25-Aug-2025,FAIRMONT ROYAL YORK TORONTO ON,1200.00
15-Aug-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(600.00)
10-Aug-2025,POS DEB 1922 THE CAPITAL GRILLE TORONTO ON,300.00
28-Jul-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,400.00
20-Jul-2025,NOBU TORONTO DINING RSTRNT,200.00
15-Jul-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(950.00)
05-Jul-2025,UBER *TRIP SAN FRANCISCO CA,100.00
25-Jun-2025,POS PUR 9928 LOBLAWS STORE #392 TORONTO ON,150.00
18-Jun-2025,POS DEB 1922 THE CAPITAL GRILLE TORONTO ON,550.00
15-Jun-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(1050.00)
22-May-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,600.00
15-May-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(800.00)
08-May-2025,UBER *EATS SAN FRANCISCO CA,50.00
26-Apr-2025,POS PUR 9928 LOBLAWS STORE #392 TORONTO ON,300.00
18-Apr-2025,NOBU TORONTO DINING RSTRNT,400.00
15-Apr-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(1300.00)
24-Mar-2025,AIR CANADA 01402938192 YYZ TO LHR,900.00
15-Mar-2025,PAYMENT RECEIVED - THANK YOU MOBILE APP,(900.00)
10-Mar-2025,POS PUR 3829 WHOLEFDS MRKT #110 TORONTO ON,200.00
